credit_score,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited,geography_germany,geography_spain,gender_male,low_engagement,inactive_with_products,activity_score,low_balance_ratio,high_salary_low_balance,poor_credit_for_age,stagnant_relationship,dormant_client,products_per_year,high_churn_risk,disengaged_client,young_inactive,senior_inactive,valuable_but_disengaged,value_engagement_ratio,age_tenure_interaction,balance_activity_interaction,salary_products_interaction,tenure_squared,age_cubed
619,42,2,0.0,1,1,1,101348.88,1,0.0,0.0,0.0,0,0,2.25,1,0,0,0,0,0.47619047619047616,0,0,0,0,0,43.127182978723404,84,0.0,101348.88,4,74088
608,41,1,83807.86,1,0,1,112542.58,0,0.0,1.0,0.0,0,0,1.25,0,0,0,0,0,0.9090909090909091,0,0,0,0,0,145.44477037037038,41,104759.825,112542.58,1,68921
502,42,8,159660.8,3,1,0,113931.57,1,0.0,0.0,0.0,0,1,1.75,0,0,1,0,1,0.3703703703703704,0,0,0,0,1,147.88776756756758,336,279406.39999999997,341794.71,64,74088
699,39,1,0.0,2,0,0,93826.63,0,0.0,0.0,0.0,0,1,0.5,1,0,0,0,0,1.8181818181818181,0,0,0,0,0,156.3777166666667,39,0.0,187653.26,1,59319
850,43,2,125510.82,1,1,1,79084.1,0,0.0,1.0,0.0,0,0,2.25,0,0,0,0,0,0.47619047619047616,0,0,0,0,0,87.06166808510639,86,282399.34500000003,79084.1,4,79507
645,44,8,113755.78,2,1,0,149756.71,1,0.0,1.0,1.0,0,1,1.5,0,0,0,0,1,0.2469135802469136,0,0,0,0,0,164.69530625,352,170633.66999999998,299513.42,64,85184
822,50,7,0.0,2,1,1,10062.8,0,0.0,0.0,1.0,0,0,2.5,1,0,0,0,0,0.28169014084507044,0,0,0,0,0,3.870307692307692,350,0.0,20125.6,49,125000
376,29,4,115046.74,4,1,0,119346.88,1,1.0,0.0,0.0,0,1,2.0,0,0,0,0,1,0.9756097560975611,0,0,1,0,0,111.61600952380952,116,230093.48,477387.52,16,24389
501,44,4,142051.07,2,0,1,74940.5,0,0.0,0.0,1.0,0,0,1.5,0,0,1,0,0,0.48780487804878053,0,0,0,0,0,135.61973125,176,213076.605,149881.0,16,85184
684,27,2,134603.88,1,1,1,71725.73,0,0.0,0.0,1.0,0,0,2.25,0,0,0,0,0,0.47619047619047616,0,0,0,0,0,87.79983404255319,54,302858.73,71725.73,4,19683
528,31,6,102016.72,2,0,0,80181.12,0,0.0,0.0,1.0,0,1,0.5,0,0,1,0,0,0.3278688524590164,0,1,0,0,0,303.6630666666667,186,51008.36,160362.24,36,29791
497,24,3,0.0,2,1,0,76390.01,0,0.0,1.0,1.0,0,1,1.5,1,0,0,0,1,0.6451612903225806,0,0,1,0,0,47.74375625,72,0.0,152780.02,9,13824
476,34,10,0.0,2,1,0,26260.98,0,0.0,0.0,0.0,0,1,1.5,1,0,1,0,1,0.19801980198019803,0,0,0,0,0,16.4131125,340,0.0,52521.96,100,39304
549,25,5,0.0,2,0,0,190857.79,0,0.0,0.0,0.0,0,1,0.5,1,1,0,0,0,0.3921568627450981,0,1,1,0,0,318.09631666666667,125,0.0,381715.58,25,15625
635,35,7,0.0,2,1,1,65951.65,0,0.0,1.0,0.0,0,0,2.5,1,0,0,0,0,0.28169014084507044,0,0,0,0,0,25.36601923076923,245,0.0,131903.3,49,42875
616,45,3,143129.41,2,0,1,64327.26,0,1.0,0.0,1.0,0,0,1.5,0,0,0,0,0,0.6451612903225806,0,0,0,0,0,129.66041875000002,135,214694.115,128654.52,9,91125
653,58,1,132602.88,1,1,0,5097.67,1,1.0,0.0,1.0,1,0,1.25,0,0,0,0,1,0.9090909090909091,0,0,0,0,0,102.00040740740742,58,165753.6,5097.67,1,195112
549,24,9,0.0,2,1,1,14406.41,0,0.0,1.0,0.0,0,0,2.5,1,0,0,0,0,0.21978021978021978,0,0,0,0,0,5.540926923076923,216,0.0,28812.82,81,13824
587,45,6,0.0,1,0,0,158684.81,0,0.0,1.0,1.0,1,0,0.25,1,1,1,1,0,0.1639344262295082,1,1,0,0,0,453.3851714285714,270,0.0,158684.81,36,91125
726,24,6,0.0,2,1,1,54724.03,0,0.0,0.0,0.0,0,0,2.5,1,0,0,0,0,0.3278688524590164,0,0,0,0,0,21.047703846153844,144,0.0,109448.06,36,13824
732,41,8,0.0,2,1,1,170886.17,0,0.0,0.0,1.0,0,0,2.5,1,1,0,0,0,0.2469135802469136,0,0,0,0,0,65.72545000000001,328,0.0,341772.34,64,68921
636,32,8,0.0,2,1,0,138555.46,0,0.0,1.0,0.0,0,1,1.5,1,0,0,0,1,0.2469135802469136,0,0,0,0,0,86.5971625,256,0.0,277110.92,64,32768
510,38,4,0.0,1,1,0,118913.53,1,0.0,1.0,0.0,1,0,1.25,1,0,1,1,1,0.24390243902439027,1,0,0,0,0,88.0840962962963,152,0.0,118913.53,16,54872
669,46,3,0.0,2,0,1,8487.75,0,0.0,0.0,1.0,0,0,1.5,1,0,0,0,0,0.6451612903225806,0,0,0,0,0,5.30484375,138,0.0,16975.5,9,97336
846,38,5,0.0,1,1,1,187616.16,0,0.0,0.0,0.0,0,0,2.25,1,1,0,1,0,0.19607843137254904,0,0,0,0,0,79.83666382978724,190,0.0,187616.16,25,54872
577,25,3,0.0,2,0,1,124508.29,0,0.0,0.0,1.0,0,0,1.5,1,0,0,0,0,0.6451612903225806,0,0,0,0,0,77.81768124999999,75,0.0,249016.58,9,15625
756,36,2,136815.64,1,1,1,170041.95,0,1.0,0.0,1.0,0,0,2.25,0,0,0,0,0,0.47619047619047616,0,0,0,0,0,130.57769787234042,72,307835.19000000006,170041.95,4,46656
571,44,9,0.0,2,0,0,38433.35,0,0.0,0.0,1.0,0,1,0.5,1,0,1,0,0,0.21978021978021978,0,1,0,0,0,64.05558333333333,396,0.0,76866.7,81,85184
574,43,3,141349.43,1,1,1,100187.43,0,1.0,0.0,0.0,0,0,2.25,0,0,1,1,0,0.3225806451612903,0,0,0,0,0,102.78164255319149,129,318036.21749999997,100187.43,9,79507
411,29,0,59697.17,2,1,1,53483.21,0,0.0,0.0,1.0,0,0,2.5,0,0,0,0,0,20.0,0,0,0,0,0,43.53091538461538,0,149242.925,106966.42,0,24389
591,39,3,0.0,3,1,0,140469.38,1,0.0,1.0,0.0,0,1,1.75,1,0,1,0,1,0.9677419354838709,0,0,0,0,0,75.9293945945946,117,0.0,421408.14,9,59319
533,36,7,85311.7,1,0,1,156731.91,0,0.0,0.0,1.0,0,0,1.25,0,1,1,1,0,0.14084507042253522,0,0,0,0,0,179.29156296296296,252,106639.625,156731.91,49,46656
553,41,9,110112.54,2,0,0,81898.81,0,1.0,0.0,1.0,0,1,0.5,0,0,1,0,0,0.21978021978021978,0,1,0,0,0,320.01891666666666,369,55056.27,163797.62,81,68921
520,42,6,0.0,2,1,1,34410.55,0,0.0,1.0,0.0,0,0,2.5,1,0,1,0,0,0.3278688524590164,0,0,0,0,0,13.234826923076923,252,0.0,68821.1,36,74088
722,29,9,0.0,2,1,1,142033.07,0,0.0,1.0,0.0,0,0,2.5,1,0,0,0,0,0.21978021978021978,0,0,0,0,0,54.62810384615385,261,0.0,284066.14,81,24389
475,45,0,134264.04,1,1,0,27822.99,1,0.0,0.0,0.0,1,0,1.25,0,0,1,0,1,10.0,0,0,0,0,0,120.06446666666666,0,167830.05000000002,27822.99,0,91125
490,31,3,145260.23,1,0,1,114066.77,0,0.0,1.0,1.0,0,0,1.25,0,0,1,1,0,0.3225806451612903,0,0,0,0,0,192.0940740740741,93,181575.2875,114066.77,9,29791
804,33,7,76548.6,1,0,1,98453.45,0,0.0,1.0,1.0,0,0,1.25,0,0,0,1,0,0.14084507042253522,0,0,0,0,0,129.63114814814813,231,95685.75,98453.45,49,35937
850,36,7,0.0,1,1,1,40812.9,0,0.0,0.0,1.0,0,0,2.25,1,0,0,1,0,0.14084507042253522,0,0,0,0,0,17.3671914893617,252,0.0,40812.9,49,46656
582,41,6,70349.48,2,0,1,178074.04,0,1.0,0.0,1.0,0,0,1.5,0,1,1,0,0,0.3278688524590164,0,0,0,0,0,155.2647,246,105524.22,356148.08,36,68921
472,40,4,0.0,1,1,0,70154.22,0,0.0,1.0,1.0,1,0,1.25,1,0,1,1,1,0.24390243902439027,1,0,0,0,0,51.96608888888889,160,0.0,70154.22,16,64000
465,51,8,122522.32,1,0,0,181297.65,1,0.0,0.0,0.0,1,0,0.25,0,0,1,1,0,0.1234567901234568,0,1,0,0,0,868.057057142857,408,30630.58,181297.65,64,132651
556,61,2,117419.35,1,1,1,94153.83,0,0.0,0.0,0.0,0,0,2.25,0,0,1,0,0,0.47619047619047616,0,0,0,0,0,90.03114042553192,122,264193.53750000003,94153.83,4,226981
834,49,2,131394.56,1,0,0,194365.76,1,0.0,0.0,0.0,1,0,0.25,0,0,0,0,0,0.47619047619047616,0,1,0,0,1,930.7437714285714,98,32848.64,194365.76,4,117649
660,61,5,155931.11,1,1,1,158338.39,0,0.0,1.0,0.0,0,0,2.25,0,0,0,1,0,0.19607843137254904,0,0,0,0,0,133.7317021276596,305,350844.99749999994,158338.39,25,226981
776,32,4,109421.13,2,1,1,126517.46,0,1.0,0.0,0.0,0,0,2.5,0,0,0,0,0,0.48780487804878053,0,0,0,0,0,90.74561153846155,128,273552.825,253034.92,16,32768
